variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
Caturra,Colombia,Washed / Wet,2012,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,0.11,170
Typica,Mexico,Washed / Wet,2012,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,0.13,484
Caturra,Colombia,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,0.11,170
Typica,Mexico,Washed / Wet,2012,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,0.11,484
Mundo Novo,Brazil,Natural / Dry,2012,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,0.12,076
Mundo Novo,Brazil,Natural / Dry,2012,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,0.11,076
Bourbon,Guatemala,Washed / Wet,2012,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,0.0,320
Mundo Novo,Brazil,Semi-washed / Semi-pulped,2011,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,0.12,076
Caturra,Brazil,Washed / Wet,2011,7.58,7.75,7.67,7.5,7.67,7.58,10.0,10.0,10.0,7.42,0.02,076
Caturra,El Salvador,Washed / Wet,2011,7.42,7.83,8.17,8.08,7.17,7.58,10.0,9.33,10.0,7.58,0.14,222
Caturra,Ethiopia,Washed / Wet,2012,7.75,8.0,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,0.01,231
Caturra,Colombia,Washed / Wet,2016,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.5,0.0,170
Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.5,7.42,8.0,7.75,10.0,10.0,10.0,7.17,0.0,170
Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,0.11,076
Yellow Bourbon,Brazil,Natural / Dry,2016,7.33,7.67,7.67,7.33,7.75,7.42,10.0,10.0,10.0,7.92,0.0,076
Mundo Novo,Brazil,Natural / Dry,2015,7.42,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.5,0.11,076
Bourbon,Brazil,Washed / Wet,2015,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,0.0,076
Catuai,Costa Rica,Washed / Wet,2014,7.83,7.33,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.5,0.1,188
Other,Mexico,Washed / Wet,2012,7.75,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,0.1,484
Caturra,Colombia,Washed / Wet,2012,7.33,7.33,7.33,7.58,7.25,8.08,10.0,10.0,10.0,8.17,0.01,170
Caturra,Colombia,Washed / Wet,2010,7.83,7.75,7.33,7.25,7.42,7.92,10.0,10.0,10.0,7.58,0.08,170
Caturra,Indonesia,Washed / Wet,2010,7.67,7.58,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.5,0.0,360
Caturra,Guatemala,Washed / Wet,2012,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10.0,10.0,7.75,0.02,320
Bourbon,Brazil,Natural / Dry,2018,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,7.5,0.0,076
Bourbon,Brazil,Natural / Dry,2016,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,0.11,076
Bourbon,Brazil,Natural / Dry,2016,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,0.11,076
Bourbon,Uganda,Washed / Wet,2015,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,7.58,0.12,800
Bourbon,Uganda,Natural / Dry,2015,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,0.12,800
Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.33,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.11,170
Catuai,Guatemala,Washed / Wet,2015,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,7.42,0.11,320
Catuai,Guatemala,Washed / Wet,2015,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,0.11,320
Bourbon,Guatemala,Washed / Wet,2015,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,7.33,0.11,320
Catuai,Brazil,Natural / Dry,2014,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.0,076
SL14,Uganda,Washed / Wet,2013,7.83,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.12,800
Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,7.42,0.1,320
Catuai,Costa Rica,Washed / Wet,2013,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.67,0.11,188
Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,0.12,076
Caturra,Colombia,Washed / Wet,2013,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,10.0,8.25,0.11,170
Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Natural / Dry,2013,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,10.0,7.5,0.11,170
Caturra,Colombia,Natural / Dry,2013,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2012,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,10.0,7.67,0.11,170
Typica,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.58,0.11,484
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,0.11,484
Bourbon,Mexico,Washed / Wet,2012,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.67,0.11,484
Arusha,Colombia,Natural / Dry,2012,7.67,7.58,7.5,7.5,7.75,7.5,10.0,10.0,10.0,7.5,0.0,170
Caturra,Colombia,Washed / Wet,2012,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,0.11,170
Bourbon,Guatemala,Washed / Wet,2012,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,0.1,320
Caturra,Colombia,Washed / Wet,2011,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,0.12,170
Caturra,Thailand,Washed / Wet,2011,7.33,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.5,0.28,764
Caturra,Colombia,Washed / Wet,2012,7.33,7.67,7.58,7.33,7.58,7.92,10.0,10.0,10.0,7.58,0.08,170
Caturra,Colombia,Washed / Wet,2011,7.5,7.58,7.67,7.67,7.58,7.58,10.0,10.0,10.0,7.42,0.06,170
Caturra,Nicaragua,Washed / Wet,2010,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0.07,558
Caturra,Thailand,Washed / Wet,2012,7.5,7.25,7.42,7.75,8.17,7.5,10.0,10.0,10.0,7.42,0.0,764
Bourbon,Brazil,Natural / Dry,2018,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,076
Bourbon,El Salvador,Washed / Wet,2017,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,0.0,222
Caturra,Colombia,Washed / Wet,2017,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,7.58,0.11,170
Ethiopian Heirlooms,Ethiopia,Washed / Wet,2016,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,0.0,231
Other,Philippines,Washed / Wet,2015,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.11,608
Other,Philippines,Washed / Wet,2014,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,7.42,0.0,608
Typica,Mexico,Natural / Dry,2015,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.13,484
Bourbon,Mexico,Washed / Wet,2015,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,0.12,484
Moka Peaberry,Brazil,Semi-washed / Semi-pulped,2015,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,0.11,076
SL14,Uganda,Washed / Wet,2013,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,7.58,0.12,800
SL14,Uganda,Washed / Wet,2013,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.12,800
Bourbon,Guatemala,Washed / Wet,2014,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.1,320
Caturra,Guatemala,Natural / Dry,2014,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.1,320
Caturra,Guatemala,Washed / Wet,2012,7.58,7.58,7.25,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.1,320
Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,0.11,170
Caturra,Colombia,Natural / Dry,2013,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,7.67,0.0,170
Bourbon,Guatemala,Washed / Wet,2013,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,0.11,320
Other,Colombia,Washed / Wet,2013,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.5,0.11,170
Typica,Mexico,Natural / Dry,2012,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,0.1,484
Typica,Mexico,Washed / Wet,2012,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,0.14,484
Caturra,Colombia,Washed / Wet,2011,7.5,7.75,7.33,7.75,7.08,7.83,10.0,10.0,10.0,7.67,0.15,170
Caturra,Thailand,Washed / Wet,2012,7.42,7.58,7.5,7.17,7.5,8.0,10.0,10.0,10.0,7.75,0.0,764
SL28,Kenya,Washed / Wet,2017,7.75,7.58,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.1,404
Bourbon,Guatemala,Washed / Wet,2017,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.11,320
Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,0.11,076
Pacas,El Salvador,Washed / Wet,2016,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,7.33,0.0,222
Bourbon,Rwanda,Washed / Wet,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8.0,0.11,646
Bourbon,Guatemala,Washed / Wet,2015,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,7.5,0.11,320
Catuai,Brazil,Natural / Dry,2015,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,0.12,076
Other,Colombia,Washed / Wet,2014,7.83,7.67,7.5,7.58,7.5,7.67,10.0,10.0,10.0,7.08,0.0,170
Other,United States,Other,2014,7.42,7.58,7.25,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,840
Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,7.5,0.1,320
Typica,Colombia,Natural / Dry,2013,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,10.0,7.58,0.11,170
Caturra,Mexico,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.12,484
Bourbon,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,0.12,484
Bourbon,Guatemala,Washed / Wet,2012,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,7.42,0.11,320
Typica,Mexico,Washed / Wet,2012,7.58,7.58,7.5,7.42,7.67,7.58,10.0,10.0,10.0,7.5,0.11,484
Caturra,El Salvador,Washed / Wet,2011,7.75,7.58,7.75,7.75,7.25,7.5,10.0,10.0,10.0,7.25,0.0,222
Caturra,Guatemala,Washed / Wet,2012,7.5,7.58,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.1,320
Caturra,Guatemala,Washed / Wet,2017,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,0.11,320
Bourbon,Guatemala,Washed / Wet,2017,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,0.11,320
Bourbon,Guatemala,Washed / Wet,2017,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,0.1,320
Bourbon,Guatemala,Washed / Wet,2017,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,0.1,320
Sulawesi,Indonesia,Other,2017,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,10.0,7.58,0.12,360
Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,0.12,320
Bourbon,El Salvador,Washed / Wet,2017,7.67,7.67,7.17,7.33,7.58,7.67,10.0,10.0,10.0,7.67,0.0,222
Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,0.09,188
Caturra,Honduras,Natural / Dry,2017,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,0.09,340
Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,0.11,076
Catimor,China,Natural / Dry,2015,7.67,7.5,7.33,7.33,7.67,7.67,10.0,10.0,10.0,7.58,0.1,156
Catimor,China,Washed / Wet,2015,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.11,156
Caturra,Colombia,Washed / Wet,2014,7.5,7.58,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.5,0.0,170
Gesha,Malawi,Washed / Wet,2014,7.75,7.58,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.12,454
Pacas,Guatemala,Washed / Wet,2014,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,7.42,0.13,320
Typica,Colombia,Washed / Wet,2014,7.67,7.42,7.42,7.58,7.33,7.67,10.0,10.0,10.0,7.67,0.12,170
Caturra,Colombia,Washed / Wet,2013,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,10.0,7.5,0.1,170
Typica,Mexico,Washed / Wet,2013,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.58,0.12,484
Typica,Mexico,Washed / Wet,2012,7.58,7.58,7.33,7.75,7.25,7.58,10.0,10.0,10.0,7.67,0.12,484
Typica,Mexico,Natural / Dry,2012,8.08,8.17,8.0,8.0,7.83,7.92,6.67,10.0,10.0,8.08,0.12,484
Caturra,Colombia,Washed / Wet,2012,7.5,7.58,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.5,0.0,170
Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.42,0.11,170
Catuai,Panama,Washed / Wet,2012,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,7.58,0.0,591
Bourbon,Brazil,Natural / Dry,2018,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,0.0,076
Bourbon,Brazil,Natural / Dry,2016,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,0.11,076
Pacas,El Salvador,Washed / Wet,2016,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,0.0,222
Caturra,Mexico,Washed / Wet,2016,7.5,7.67,7.42,7.75,7.42,7.17,10.0,10.0,10.0,7.75,0.11,484
Caturra,Colombia,Washed / Wet,2015,7.75,7.5,7.33,7.58,7.33,7.75,10.0,10.0,10.0,7.42,0.0,170
Yellow Bourbon,Brazil,Natural / Dry,2016,7.58,7.5,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.0,076
Catuai,Brazil,Natural / Dry,2014,7.33,7.5,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.12,076
Typica,Mexico,Natural / Dry,2014,7.67,7.58,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.11,484
SL14,Uganda,Washed / Wet,2013,7.67,7.5,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.12,800
Caturra,Thailand,Washed / Wet,2013,7.42,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.11,764
Caturra,Colombia,Washed / Wet,2012,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,7.42,0.11,170
Other,El Salvador,Washed / Wet,2012,7.92,8.0,7.5,6.75,7.92,7.58,10.0,10.0,9.33,7.67,0.0,222
Caturra,Guatemala,Washed / Wet,2012,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.11,320
Other,Thailand,Washed / Wet,2012,7.83,7.33,7.83,7.33,7.58,7.83,10.0,10.0,9.33,7.58,0.12,764
Other,Mexico,Washed / Wet,2012,7.58,7.58,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,0.11,484
Typica,Mexico,Washed / Wet,2012,7.5,7.58,7.58,7.58,7.42,7.42,10.0,10.0,10.0,7.58,0.12,484
Caturra,Colombia,Washed / Wet,2011,7.33,7.58,7.42,7.42,7.67,7.67,10.0,10.0,10.0,7.58,0.11,170
Blue Mountain,Mexico,Washed / Wet,2011,7.75,7.58,7.25,7.75,7.67,7.58,10.0,10.0,10.0,7.08,0.0,484
Caturra,Colombia,Washed / Wet,2010,8.08,7.67,7.67,7.33,7.33,7.17,10.0,10.0,10.0,7.42,0.08,170
Caturra,Colombia,Washed / Wet,2010,7.5,7.42,7.33,7.33,7.67,7.83,10.0,10.0,10.0,7.58,0.21,170
Bourbon,Guatemala,Washed / Wet,2017,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,0.1,320
Caturra,Brazil,Pulped natural / honey,2016,7.5,7.58,7.42,7.5,7.75,7.33,10.0,10.0,10.0,7.5,0.11,076
Caturra,Brazil,Washed / Wet,2016,7.42,7.42,7.5,7.33,7.25,7.67,10.0,10.0,10.0,8.0,0.0,076
Typica,Indonesia,Semi-washed / Semi-pulped,2015,7.83,7.58,7.42,7.33,7.42,7.5,10.0,10.0,10.0,7.5,0.13,360
Caturra,Thailand,Washed / Wet,2014,7.75,7.33,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.5,0.12,764
Caturra,Thailand,Washed / Wet,2014,7.42,7.58,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.5,0.12,764
SL14,Uganda,Natural / Dry,2013,7.83,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.42,0.12,800
Catuai,Costa Rica,Washed / Wet,2013,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,10.0,7.58,0.11,188
Caturra,Mexico,Washed / Wet,2014,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10.0,10.0,7.58,0.0,484
Caturra,Guatemala,Natural / Dry,2012,7.5,7.58,7.42,7.58,7.42,7.58,10.0,10.0,10.0,7.5,0.0,320
Caturra,Colombia,Washed / Wet,2013,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,10.0,7.5,0.11,170
Caturra,Colombia,Washed / Wet,2012,7.75,7.5,7.75,7.25,7.33,7.58,10.0,10.0,10.0,7.42,0.11,170
Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,10.0,7.42,0.11,170
Typica,Mexico,Washed / Wet,2012,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.1,484
Typica,Mexico,Washed / Wet,2012,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,10.0,7.5,0.12,484
Caturra,Colombia,Washed / Wet,2012,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,10.0,7.67,0.11,170
Mundo Novo,Brazil,Washed / Wet,2011,7.58,7.5,7.33,7.75,7.5,7.5,10.0,10.0,10.0,7.42,0.0,076
Bourbon,Brazil,Natural / Dry,2018,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,0.11,076
Other,Indonesia,Washed / Wet,2017,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,10.0,7.42,0.11,360
Caturra,Honduras,Washed / Wet,2017,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.1,340
Bourbon,Guatemala,Washed / Wet,2016,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,0.1,320
Caturra,Thailand,Washed / Wet,2014,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10.0,10.0,7.83,0.12,764
Caturra,Thailand,Washed / Wet,2014,7.33,7.5,7.5,7.5,7.67,7.5,10.0,10.0,10.0,7.5,0.11,764
Other,Mexico,Washed / Wet,2013,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,7.58,0.0,484
Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,0.11,076
Bourbon,Guatemala,Washed / Wet,2013,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,7.33,0.12,320
Caturra,Colombia,Washed / Wet,2013,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,7.5,0.11,170
Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,7.33,0.11,320
Typica,Mexico,Washed / Wet,2012,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.13,484
Typica,Mexico,Washed / Wet,2012,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,0.12,484
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.92,7.5,7.33,7.58,7.25,7.42,10.0,10.0,10.0,7.5,0.11,484
Caturra,Guatemala,Natural / Dry,2012,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,10.0,7.5,0.11,320
Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,0.0,076
Caturra,Colombia,Washed / Wet,2012,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,0.11,170
Caturra,Guatemala,Washed / Wet,2012,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10.0,10.0,7.33,0.01,320
Other,Honduras,Washed / Wet,2017,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.12,340
Bourbon,Guatemala,Washed / Wet,2017,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,0.1,320
Bourbon,Guatemala,Washed / Wet,2016,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,0.12,320
Bourbon,Guatemala,Washed / Wet,2017,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,0.12,320
Caturra,Guatemala,Washed / Wet,2017,7.5,7.42,7.08,7.75,7.67,7.5,10.0,10.0,10.0,7.5,0.11,320
Caturra,Colombia,Washed / Wet,2016,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,0.11,170
Catimor,China,Washed / Wet,2015,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.1,156
Caturra,Brazil,Washed / Wet,2016,7.42,7.5,7.33,7.5,7.25,7.42,10.0,10.0,10.0,8.0,0.11,076
Yellow Bourbon,Brazil,Natural / Dry,2016,7.17,7.83,7.33,7.5,7.75,7.42,10.0,10.0,10.0,7.42,0.0,076
Caturra,Guatemala,Washed / Wet,2013,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,7.33,0.1,320
Typica,Mexico,Washed / Wet,2014,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,0.11,484
Catuai,Brazil,Semi-washed / Semi-pulped,2012,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.12,076
Caturra,Peru,Washed / Wet,2013,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10.0,10.0,7.5,0.0,604
Yellow Bourbon,Brazil,Natural / Dry,2014,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,8.17,0.0,076
Bourbon,Mexico,Washed / Wet,2013,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,7.5,0.12,484
Caturra,Honduras,Washed / Wet,2012,7.25,7.67,7.42,7.17,7.75,7.5,10.0,10.0,10.0,7.67,0.09,340
Caturra,Colombia,Washed / Wet,2013,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.42,0.11,170
Typica,Mexico,Washed / Wet,2013,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,7.42,0.12,484
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.13,484
Typica,Mexico,Washed / Wet,2012,7.42,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.14,484
Caturra,Mexico,Washed / Wet,2012,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,7.58,0.13,484
Typica,Mexico,Washed / Wet,2012,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.11,484
Pacamara,Mexico,Washed / Wet,2012,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,7.58,0.14,484
Caturra,Mexico,Washed / Wet,2012,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.11,484
Bourbon,Mexico,Washed / Wet,2012,7.67,7.58,7.33,7.42,7.58,7.33,10.0,10.0,10.0,7.5,0.13,484
Typica,Mexico,Washed / Wet,2012,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,0.12,484
Caturra,Colombia,Natural / Dry,2012,7.67,7.33,7.25,7.42,7.5,7.67,10.0,10.0,10.0,7.58,0.0,170
Arusha,Brazil,Natural / Dry,2012,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.42,0.11,076
Caturra,Colombia,Washed / Wet,2011,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,10.0,7.75,0.0,170
Caturra,Colombia,Washed / Wet,2011,7.58,7.25,7.42,7.25,7.58,7.83,10.0,10.0,10.0,7.5,0.02,170
Caturra,Honduras,Washed / Wet,2017,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.1,340
Catuai,Brazil,Natural / Dry,2016,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,0.11,076
